model,mpg,cyl,disp,hp,drat,wt,qsec,vs,am,gear,carb,weight_kg,power_kw,cyl_factor,am_label,vs_label,speed_category,predicted,residuals,std_resid,is_outlier,hat_value,cooks_d
Fiat 128,32.4,4,78.7,66,4.08,2.2,19.47,1,1,4,1,997.9200000000002,49.236,4-cyl,Manual,Straight,Slow,25.527288707352135,6.8727112926478595,2.3349021474463134,FALSE,0.06611661777309472,0.1929858001683125
Honda Civic,30.4,4,75.7,52,4.93,1.615,18.52,1,1,4,2,732.5640000000001,38.792,4-cyl,Manual,Straight,Slow,28.653804577394904,1.7461954226050953,0.6103569085768974,FALSE,0.11774977628773285,0.024860281800609164
Toyota Corolla,33.9,4,71.1,65,4.22,1.835,19.9,1,1,4,1,832.356,48.49,4-cyl,Manual,Straight,Slow,27.478020831395916,6.421979168604082,2.21708271178884,FALSE,0.0956265384746014,0.2598749512685019
Toyota Corona,21.5,4,120.1,97,3.7,2.465,20.01,1,0,3,1,1118.124,72.362,4-cyl,Automatic,Straight,Slow,24.111003740580628,-2.6110037405806312,-0.8796401303464877,FALSE,0.05031684414382978,0.020498153079777516
Dodge Challenger,15.5,8,318,150,2.76,3.52,16.87,0,0,3,2,1596.672,111.9,8-cyl,Automatic,V-shaped,Medium,18.472586231358203,-2.972586231358208,-0.9931363353191281,FALSE,0.03433832308222705,0.017536456139779274
AMC Javelin,15.2,8,304,150,3.15,3.435,17.3,0,0,3,2,1558.1160000000002,111.9,8-cyl,Automatic,V-shaped,Medium,18.92686631503963,-3.7268663150396355,-1.2441801486544415,FALSE,0.03284760992950241,0.026287265114740863
Camaro Z28,13.3,8,350,245,3.73,3.84,15.41,0,0,3,4,1741.824,182.77,8-cyl,Automatic,V-shaped,Fast,16.762355328086947,-3.4623553280869523,-1.162790980244303,FALSE,0.044317180680937075,0.03134957506641591
Pontiac Firebird,19.2,8,400,175,3.08,3.845,17.05,0,0,3,2,1744.092,130.55,8-cyl,Automatic,V-shaped,Medium,16.73563297022333,2.4643670297766613,0.8277196815463519,FALSE,0.04452785331443228,0.015964315252033404
Fiat X1-9,27.3,4,79,66,4.08,1.935,18.9,1,1,4,1,877.7160000000001,49.236,4-cyl,Manual,Straight,Slow,26.94357367412365,0.3564263258763529,0.12244407199833449,FALSE,0.08664873388527032,7.111642529623522e-4
Porsche 914-2,26,4,120.3,91,4.43,2.14,16.7,0,1,5,2,970.704,67.886,4-cyl,Manual,V-shaped,Medium,25.847957001715496,0.15204299828450066,0.05177186627252775,FALSE,0.07035096081209352,1.014165083289876e-4
Lotus Europa,30.4,4,95.1,113,3.77,1.513,16.9,1,1,5,2,686.2968,84.298,4-cyl,Manual,Straight,Medium,29.19894067781262,1.2010593221873804,0.42254269996614535,FALSE,0.1291135642750159,0.013234927127130959
Ford Pantera L,15.8,8,351,264,4.22,3.17,14.5,0,1,5,4,1437.912,196.944,8-cyl,Manual,V-shaped,Fast,20.34315128181114,-4.543151281811144,-1.5154971045276777,FALSE,0.03132522428169813,0.037136111281139535
Ferrari Dino,19.7,6,145,175,3.62,2.77,15.5,0,1,5,6,1256.472,130.55,6-cyl,Manual,V-shaped,Fast,22.48093991090021,-2.780939910900215,-0.9308692898121984,FALSE,0.0379899259059041,0.017109457387958705
Maserati Bora,15,8,301,335,3.54,3.57,14.6,0,1,5,8,1619.352,249.91,8-cyl,Manual,V-shaped,Fast,18.20536265272207,-3.205362652722075,-1.0715194349585548,FALSE,0.03544264864205188,0.02109445083253668
Volvo 142E,21.4,4,121,109,4.11,2.78,18.6,1,1,4,2,1261.008,81.314,4-cyl,Manual,Straight,Slow,22.427495195172984,-1.02749519517299,-0.34388215295250824,FALSE,0.037691901204862134,0.0023159180189187643
